"16669","tt0852863","Phineas and Ferb","https://www.youtube.com/results?search_query=Phineas%20and%20Ferb","[PUT YT HERE]","http://ia.media-imdb.com/images/M/MV5BMTc1NjcxNzg4MF5BMl5BanBnXkFtZTgwOTMzNzgyMDE@._V1._SX54_CR0,0,54,74_.jpg","2007","Phineas and Ferb invent, scheme and stay one step ahead of their bratty sister. Meanwhile, their pet platypus plots against evil Dr. Doofenshmirtz."
"18945","tt0373732","The Boondocks","https://www.youtube.com/results?search_query=The%20Boondocks","[PUT YT HERE]","http://ia.media-imdb.com/images/M/MV5BNDM5MDExMDc2OF5BMl5BanBnXkFtZTcwMjA1ODg2MQ@@._V1._SY74_CR1,0,54,74_.jpg","2005","Based on the comic strip, Huey and Riley move away from the city and out to the suburbs with their irascible grandfather. Biting socio-political commentary ensues."
"38895","tt0103359","Batman: The Animated Series","https://www.youtube.com/results?search_query=Batman%3A%20The%20Animated%20Series","[PUT YT HERE]","http://ia.media-imdb.com/images/M/MV5BMTU3MjcwNzY3NF5BMl5BanBnXkFtZTYwNzA2MTI5._V1._SX54_CR0,0,54,74_.jpg","1992","The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl."
"70276","tt0877057","Death Note","https://www.youtube.com/results?search_query=Death%20Note","[PUT YT HERE]","http://ia.media-imdb.com/images/M/MV5BMjA4NTY2Njk4OF5BMl5BanBnXkFtZTcwODM1MTU3MQ@@._V1._SX54_CR0,0,54,74_.jpg","2006","An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it."
"54586","tt0214341","Dragon Ball Z","https://www.youtube.com/results?search_query=Dragon%20Ball%20Z","[PUT YT HERE]","http://ia.media-imdb.com/images/M/MV5BMTYwODI0NzM0OF5BMl5BanBnXkFtZTcwODIyNjM1MQ@@._V1._SX54_CR0,0,54,74_.jpg","1996","After learning that he is from another planet, a warrior named Goku and his friends are prompted to defend it from an onslaught of extraterrestrial enemies."
"19232","tt0275137","Justice League","https://www.youtube.com/results?search_query=Justice%20League","[PUT YT HERE]","http://ia.media-imdb.com/images/M/MV5BMjAzOTYwMTM2M15BMl5BanBnXkFtZTcwMjIwOTIzMQ@@._V1._SY74_CR6,0,54,74_.jpg","2001","Seven of the most formidable heroes form arguably the most powerful team ever."
"12516","tt1641384","Young Justice","https://www.youtube.com/results?search_query=Young%20Justice","[PUT YT HERE]","http://ia.media-imdb.com/images/M/MV5BMTkzNTc4NDAyMV5BMl5BanBnXkFtZTcwODcwMzMzOQ@@._V1._SX54_CR0,0,54,74_.jpg","2010","Teenage superheroes strive to prove themselves as members of the Justice League."
"5129","tt1722512","Ultimate Spider-Man","https://www.youtube.com/results?search_query=Ultimate%20Spider-Man","[PUT YT HERE]","http://ia.media-imdb.com/images/M/MV5BODUwMjAxNDgxN15BMl5BanBnXkFtZTcwMzAzNTEwOQ@@._V1._SY74_CR39,0,54,74_.jpg","2012","While being trained by S.H.I.E.L.D., Spider-Man battles evil with a new team of teen colleagues."
"12181","tt0343314","Teen Titans","https://www.youtube.com/results?search_query=Teen%20Titans","[PUT YT HERE]","http://ia.media-imdb.com/images/M/MV5BMTI4MTI1NjA1Nl5BMl5BanBnXkFtZTcwMzc5ODAwMw@@._V1._SY74_CR3,0,54,74_.jpg","2003","A teenager named Robin, finds a group of heros, Starfire, Cyborg, Beast Boy, and Raven. They come together to stop their villians of whom they could never beat alone."
"28183","tt1355642","Fullmetal Alchemist Brotherhood","https://www.youtube.com/results?search_query=Fullmetal%20Alchemist%20Brotherhood","[PUT YT HERE]","http://ia.media-imdb.com/images/M/MV5BMTQzMDExNjg5NV5BMl5BanBnXkFtZTcwNjUxMjUxMw@@._V1._SX54_CR0,0,54,74_.jpg","2009","Two brothers lose their mother to an incurable disease. With the power of ""alchemy"", they use taboo knowledge to resurrect her..."
